Active_Lever_Presses,Inactive_Lever_Presses,Session_Number,Stage,Animal.ID,Genotype,Drug,Dose
6,0,1,FR1 SL,64,WT,None,
84,0,2,FR1 SL,64,WT,None,
99,0,3,FR1 SL,64,WT,None,
64,0,4,FR1 SL,64,WT,None,
80,0,5,FR1 SL,64,WT,None,
70,10,1,FR1 DL,64,WT,None,
85,8,2,FR1 DL,64,WT,None,
83,6,3,FR1 DL,64,WT,None,
81,11,4,FR1 DL,64,WT,None,
105,10,1,FR3,64,WT,None,
123,24,2,FR3,64,WT,None,
84,9,3,FR3,64,WT,None,
91,17,4,FR3,64,WT,None,
96,12,5,FR3,64,WT,None,
116,17,6,FR3,64,WT,None,
120,7,1,FR5,64,WT,None,
128,16,2,FR5,64,WT,None,
105,10,3,FR5,64,WT,None,
88,17,4,FR5,64,WT,None,
102,6,5,FR5,64,WT,None,
104,10,6,FR5,64,WT,None,
100,9,7,FR5,64,WT,None,
165,6,8,FR5,64,WT,None,
331,12,9,PR 2HR,64,WT,None,
139,2,10,FR5,64,WT,None,
177,2,11,FR5,64,WT,None,
319,10,12,PR 2HR,64,WT,None,
95,6,13,FR5,64,WT,None,
257,3,14,PR 2HR,64,WT,None,
75,6,15,FR5,64,WT,None,
88,5,16,FR5,64,WT,None,
222,10,17,PR 2HR,64,WT,None,
75,6,18,FR5,64,WT,None,
202,18,19,PR 2HR,64,WT,None,
94,7,20,FR5,64,WT,None,
74,1,21,FR5,64,WT,None,
178,14,22,PR 2HR,64,WT,None,
60,1,23,FR5,64,WT,None,
176,10,24,PR 2HR,64,WT,None,
55,5,25,FR5,64,WT,None,
66,1,26,FR5,64,WT,None,
158,12,27,PR 2HR,64,WT,None,
109,7,28,FR5,64,WT,None,
176,15,29,PR 2HR,64,WT,None,
134,2,30,FR5,64,WT,None,
220,6,31,FR5,64,WT,None,
316,10,32,PR 2HR + ATO,64,WT,ATO,3
254,1,33,FR5,64,WT,None,
480,14,34,PR 2HR,64,WT,None,
440,4,35,FR5,64,WT,None,
605,1,36,FR5,64,WT,None,
749,25,37,PR 2HR + ATO,64,WT,ATO,1
421,1,38,FR5,64,WT,None,
596,11,39,PR 2HR,64,WT,None,
575,2,40,FR5,64,WT,None,
360,2,41,FR5,64,WT,None,
570,23,42,PR 2HR + ATO,64,WT,Saline,0
567,5,43,FR5,64,WT,None,
537,6,1,FR10,64,WT,None,
341,7,1,FR20,64,WT,None,
127,11,1,FR40,64,WT,None,
6,0,1,FR1 SL,68,WT,None,
19,0,2,FR1 SL,68,WT,None,
23,0,3,FR1 SL,68,WT,None,
13,0,4,FR1 SL,68,WT,None,
86,0,5,FR1 SL,68,WT,None,
100,15,1,FR1 DL,68,WT,None,
131,5,2,FR1 DL,68,WT,None,
82,5,3,FR1 DL,68,WT,None,
149,1501,4,FR1 DL,68,WT,None,
131,7,1,FR3,68,WT,None,
191,7,2,FR3,68,WT,None,
117,5,3,FR3,68,WT,None,
189,1,4,FR3,68,WT,None,
223,1501,5,FR3,68,WT,None,
245,1,6,FR3,68,WT,None,
170,2,1,FR5,68,WT,None,
213,4,2,FR5,68,WT,None,
139,1501,3,FR5,68,WT,None,
170,1,4,FR5,68,WT,None,
191,4,5,FR5,68,WT,None,
227,2,6,FR5,68,WT,None,
134,6,7,FR5,68,WT,None,
88,1501,8,FR5,68,WT,None,
191,2,9,PR 2HR,68,WT,None,
59,1501,10,FR5,68,WT,None,
60,1501,11,FR5,68,WT,None,
147,1,12,PR 2HR,68,WT,None,
50,1,13,FR5,68,WT,None,
173,3,14,PR 2HR,68,WT,None,
60,1501,15,FR5,68,WT,None,
75,1501,16,FR5,68,WT,None,
162,1,17,PR 2HR,68,WT,None,
50,1,18,FR5,68,WT,None,
131,1,19,PR 2HR,68,WT,None,
24,1501,20,FR5,68,WT,None,
75,1501,21,FR5,68,WT,None,
103,1,22,PR 2HR,68,WT,None,
39,1501,23,FR5,68,WT,None,
68,1,24,PR 2HR,68,WT,None,
30,1501,25,FR5,68,WT,None,
110,1,26,FR5,68,WT,None,
187,7,27,PR 2HR,68,WT,None,
66,1501,28,FR5,68,WT,None,
186,1,29,PR 2HR,68,WT,None,
70,1,30,FR5,68,WT,None,
115,1501,31,FR5,68,WT,None,
199,2,32,PR 2HR + ATO,68,WT,ATO,1
47,1501,33,FR5,68,WT,None,
121,1,34,PR 2HR,68,WT,None,
25,1501,35,FR5,68,WT,None,
47,1,36,FR5,68,WT,None,
142,1,37,PR 2HR + ATO,68,WT,Saline,0
31,1501,38,FR5,68,WT,None,
92,1,39,PR 2HR,68,WT,None,
35,1501,40,FR5,68,WT,None,
52,1501,41,FR5,68,WT,None,
67,1,42,PR 2HR + ATO,68,WT,ATO,3
40,1501,43,FR5,68,WT,None,
83,2,1,FR10,68,WT,None,
76,3,1,FR20,68,WT,None,
57,7,1,FR40,68,WT,None,
58,0,1,FR1 SL,70,WT,None,
22,0,2,FR1 SL,70,WT,None,
21,0,3,FR1 SL,70,WT,None,
31,0,4,FR1 SL,70,WT,None,
104,0,5,FR1 SL,70,WT,None,
111,2,1,FR1 DL,70,WT,None,
117,1501,2,FR1 DL,70,WT,None,
139,1501,3,FR1 DL,70,WT,None,
155,1501,4,FR1 DL,70,WT,None,
230,1501,1,FR3,70,WT,None,
249,1501,2,FR3,70,WT,None,
187,1501,3,FR3,70,WT,None,
266,1501,4,FR3,70,WT,None,
