Date,Active_Lever_Presses,Inactive_Lever_Presses,Session_Number,Stage,Animal.ID,Genotype,Drug,Dose
2018-07-23,25,0,1,FR1 SL,87,WT,,
2018-07-24,48,0,2,FR1 SL,87,WT,,
2018-07-25,78,0,3,FR1 SL,87,WT,,
2018-07-26,81,0,4,FR1 SL,87,WT,,
2018-07-27,86,8,1,FR1 DL,87,WT,,
2018-07-30,81,15,2,FR1 DL,87,WT,,
2018-07-31,76,5,3,FR1 DL,87,WT,,
2018-08-01,85,3,4,FR1 DL,87,WT,,
2018-08-02,177,5,1,FR3,87,WT,,
2018-08-03,227,8,2,FR3,87,WT,,
2018-08-06,208,11,3,FR3,87,WT,,
2018-08-07,246,12,4,FR3,87,WT,,
2018-08-08,322,9,1,FR5,87,WT,,
2018-08-09,271,11,2,FR5,87,WT,,
2018-08-10,312,5,3,FR5,87,WT,,
2018-08-13,312,19,4,FR5,87,WT,,
2018-08-14,66,3,1,FR5 DEVAL,87,WT,,
2018-08-15,240,5,5,FR5,87,WT,,
2018-08-16,180,2,6,FR5,87,WT,,
2018-08-17,75,2,2,FR5 DEVAL,87,WT,,
2018-08-20,215,7,7,FR5,87,WT,,
2018-08-21,216,5,8,FR5,87,WT,,
2018-08-22,295,6,9,FR5,87,WT,,
2018-08-23,265,4,10,FR5,87,WT,,
2018-08-24,265,14,11,FR5,87,WT,,
2018-08-27,111,6,12,FR5,87,WT,,
2018-08-28,424,38,1,PR 2HR,87,WT,,
2018-08-29,190,10,13,FR5,87,WT,,
2018-08-30,421,32,2,PR 2HR,87,WT,,
2018-08-31,305,8,14,FR5,87,WT,,
2018-09-03,249,12,15,FR5,87,WT,,
2018-09-04,290,22,3,PR 2HR,87,WT,,
2018-09-05,215,2,16,FR5,87,WT,,
2018-09-06,417,27,1,PR DL/FR5 DL,87,WT,,
2018-09-07,305,9,2,FR5 DL/PR DL,87,WT,,
2018-09-10,268,4,17,FR5,87,WT,,
2018-09-11,408,8,1,PR 2HR + ATO,87,WT,ATO,1
2018-09-12,270,8,18,FR5,87,WT,,
2018-09-13,438,37,4,PR 2HR,87,WT,,
2018-09-14,282,4,19,FR5,87,WT,,
2018-09-17,295,4,20,FR5,87,WT,,
2018-09-18,341,17,2,PR 2HR + ATO,87,WT,Saline,0
2018-09-19,301,2,21,FR5,87,WT,,
2018-09-20,458,6,5,PR 2HR,87,WT,,
2018-09-21,300,11,22,FR5,87,WT,,
2018-09-24,305,4,23,FR5,87,WT,,
2018-09-25,328,10,3,PR 2HR + ATO,87,WT,ATO,3
2018-07-23,5,0,1,FR1 SL,78,WT,,
2018-07-24,40,0,2,FR1 SL,78,WT,,
2018-07-25,82,0,3,FR1 SL,78,WT,,
2018-07-26,59,0,4,FR1 SL,78,WT,,
2018-07-27,43,4,1,FR1 DL,78,WT,,
2018-07-30,46,0,2,FR1 DL,78,WT,,
2018-07-31,85,0,3,FR1 DL,78,WT,,
2018-08-01,75,1,4,FR1 DL,78,WT,,
2018-08-02,105,1,1,FR3,78,WT,,
2018-08-03,91,2,2,FR3,78,WT,,
2018-08-06,206,0,3,FR3,78,WT,,
2018-08-07,216,0,4,FR3,78,WT,,
2018-08-08,211,0,1,FR5,78,WT,,
2018-08-09,121,1,2,FR5,78,WT,,
2018-08-10,225,0,3,FR5,78,WT,,
2018-08-13,170,0,4,FR5,78,WT,,
2018-08-14,33,1,1,FR5 DEVAL,78,WT,,
2018-08-15,160,0,5,FR5,78,WT,,
2018-08-16,122,1,6,FR5,78,WT,,
2018-08-17,22,0,2,FR5 DEVAL,78,WT,,
2018-08-20,95,2,7,FR5,78,WT,,
2018-08-21,170,5,8,FR5,78,WT,,
2018-08-22,240,2,9,FR5,78,WT,,
2018-08-23,265,1,10,FR5,78,WT,,
2018-08-24,367,1,11,FR5,78,WT,,
2018-08-27,240,1,12,FR5,78,WT,,
2018-08-28,538,8,1,PR 2HR,78,WT,,
2018-08-29,240,1,13,FR5,78,WT,,
2018-08-30,420,5,2,PR 2HR,78,WT,,
2018-08-31,70,0,14,FR5,78,WT,,
2018-09-03,150,0,15,FR5,78,WT,,
2018-09-04,332,5,3,PR 2HR,78,WT,,
2018-09-05,170,1,16,FR5,78,WT,,
2018-09-06,362,6,1,PR DL/FR5 DL,78,WT,,
2018-09-07,129,0,2,FR5 DL/PR DL,78,WT,,
2018-09-10,248,0,17,FR5,78,WT,,
2018-09-11,235,2,1,PR 2HR + ATO,78,WT,ATO,1
2018-09-12,230,1,18,FR5,78,WT,,
2018-09-13,519,6,4,PR 2HR,78,WT,,
2018-09-14,169,0,19,FR5,78,WT,,
2018-09-17,230,0,20,FR5,78,WT,,
2018-09-18,296,4,2,PR 2HR + ATO,78,WT,Saline,0
2018-09-19,185,0,21,FR5,78,WT,,
2018-09-20,455,1,5,PR 2HR,78,WT,,
2018-09-21,250,1,22,FR5,78,WT,,
2018-09-24,292,3,23,FR5,78,WT,,
2018-09-25,390,7,3,PR 2HR + ATO,78,WT,ATO,3
2018-07-23,15,0,1,FR1 SL,83,WT,,
2018-07-24,52,0,2,FR1 SL,83,WT,,
2018-07-25,59,0,3,FR1 SL,83,WT,,
2018-07-26,67,0,4,FR1 SL,83,WT,,
2018-07-27,70,11,1,FR1 DL,83,WT,,
2018-07-30,80,9,2,FR1 DL,83,WT,,
2018-07-31,80,0,3,FR1 DL,83,WT,,
2018-08-01,87,1,4,FR1 DL,83,WT,,
2018-08-02,203,2,1,FR3,83,WT,,
2018-08-03,214,2,2,FR3,83,WT,,
2018-08-06,214,0,3,FR3,83,WT,,
2018-08-07,207,2,4,FR3,83,WT,,
2018-08-08,381,1,1,FR5,83,WT,,
2018-08-09,400,1,2,FR5,83,WT,,
2018-08-10,381,2,3,FR5,83,WT,,
2018-08-13,263,1,4,FR5,83,WT,,
2018-08-14,41,0,1,FR5 DEVAL,83,WT,,
2018-08-15,298,0,5,FR5,83,WT,,
2018-08-16,386,0,6,FR5,83,WT,,
2018-08-17,50,0,2,FR5 DEVAL,83,WT,,
2018-08-20,250,0,7,FR5,83,WT,,
2018-08-21,302,0,8,FR5,83,WT,,
2018-08-22,310,0,9,FR5,83,WT,,
2018-08-23,402,1,10,FR5,83,WT,,
2018-08-24,327,0,11,FR5,83,WT,,
2018-08-27,248,1,12,FR5,83,WT,,
2018-08-28,813,10,1,PR 2HR,83,WT,,
2018-08-29,281,0,13,FR5,83,WT,,
2018-08-30,594,2,2,PR 2HR,83,WT,,
2018-08-31,251,0,14,FR5,83,WT,,
2018-09-03,285,0,15,FR5,83,WT,,
2018-09-04,404,4,3,PR 2HR,83,WT,,
2018-09-05,310,5,16,FR5,83,WT,,
2018-09-06,621,12,1,PR DL/FR5 DL,83,WT,,
2018-09-07,240,4,2,FR5 DL/PR DL,83,WT,,
2018-09-10,278,1,17,FR5,83,WT,,
2018-09-11,178,1,1,PR 2HR + ATO,83,WT,ATO,1
2018-09-12,220,2,18,FR5,83,WT,,
2018-09-13,474,7,4,PR 2HR,83,WT,,
2018-09-14,230,0,19,FR5,83,WT,,
2018-09-17,280,1,20,FR5,83,WT,,
2018-09-18,428,3,2,PR 2HR + ATO,83,WT,Saline,0
2018-09-19,275,1,21,FR5,83,WT,,
2018-09-20,615,11,5,PR 2HR,83,WT,,
2018-09-21,350,2,22,FR5,83,WT,,
2018-09-24,280,0,23,FR5,83,WT,,
2018-09-25,299,5,3,PR 2HR + ATO,83,WT,ATO,3
2018-07-23,25,0,1,FR1 SL,73,WT,,
2018-07-24,40,0,2,FR1 SL,73,WT,,
2018-07-25,101,0,3,FR1 SL,73,WT,,
2018-07-26,101,0,4,FR1 SL,73,WT,,
