Animal_ID,Date,Genotype,Total_Time_Zone_1,Total_Time_Zone_3,Total_Time,Total_Time_Conditioned,Total_Time_Unconditioned,Time_Difference,Total_Distance_Zone_1,Total_Distance_Zone_3,Total_Distance,Total_Distance_Conditioned,Total_Distance_Unconditioned,Distance_Difference,Conditioned_Pattern,Conditioned_Zone,Chamber,Run,Stage
90,2017-08-14,WT,657.4,616.6,1274,616.6,657.4,0.94,4652.00,5613.00,10265.00,5613,4652,1.21,Swirls,3,1,1,Habituation
102,2017-08-14,NL3,607.6,573.2,1180.8,607.6,573.2,1.06,5102.00,4625.00,9727.00,5102,4625,1.10,Stripes,1,2,1,Habituation
89,2017-08-14,WT,546.1,817.8,1363.9,546.1,817.8,0.67,4036.00,5080.00,9116.00,4036,5080,0.79,Stripes,1,3,1,Habituation
103,2017-08-14,NL3,632.6,591.9,1224.5,591.9,632.6,0.94,4771.00,4756.00,9527.00,4756,4771,1.00,Swirls,3,4,1,Habituation
97,2017-08-14,NL3,565.6,773.3,1338.9,565.6,773.3,0.73,4044.00,5629.00,9673.00,4044,5629,0.72,Stripes,1,5,1,Habituation
98,2017-08-14,NL3,557.1,302.3,859.4,302.3,557.1,0.54,5104.00,4012.00,9116.00,4012,5104,0.79,Swirls,3,1,2,Habituation
96,2017-08-14,WT,591.2,679.7,1270.9,591.2,679.7,0.87,3799.00,4198.00,7997.00,3799,4198,0.90,Stripes,1,2,2,Habituation
104,2017-08-14,NL3,551.7,794.8,1346.5,551.7,794.8,0.69,3942.00,5907.00,9849.00,3942,5907,0.67,Stripes,1,3,2,Habituation
69,2017-08-14,WT,567.2,692.1,1259.3,692.1,567.2,1.22,4129.00,4402.00,8531.00,4402,4129,1.07,Swirls,3,4,2,Habituation
105,2017-08-14,NL3,702.3,698,1400.3,702.3,698,1.01,4574.00,4840.00,9414.00,4574,4840,0.95,Stripes,1,5,2,Habituation
65,2017-08-14,WT,728.8,573.6,1302.4,573.6,728.8,0.79,4810.00,4435.00,9245.00,4435,4810,0.92,Swirls,3,1,3,Habituation
108,2017-08-14,NL3,623.9,602.8,1226.7,602.8,623.9,0.97,4758.00,4428.00,9186.00,4428,4758,0.93,Swirls,3,2,3,Habituation
72,2017-08-14,WT,477.3,767.9,1245.2,477.3,767.9,0.62,3611.00,5418.00,9029.00,3611,5418,0.67,Stripes,1,3,3,Habituation
109,2017-08-14,NL3,490.3,754.3,1244.6,490.3,754.3,0.65,3712.00,5225.00,8937.00,3712,5225,0.71,Stripes,1,4,3,Habituation
