Date,Active_Lever_Presses,Inactive_Lever_Presses,Session_Number,Stage,Animal.ID,Genotype,Position,Progression,Progression_Session
"27/03/2023		",52,N/A,1,FR1 SL,550,WT,Opposite,0,
"28/03/2023		",222,N/A,2,FR1 SL,550,WT,Opposite,0,
"29/03/2023		",226,N/A,3,FR1 SL,550,WT,Opposite,0,
"30/03/2023		",162,N/A,4,FR1 SL,550,WT,Opposite,0,
"3/04/2023		",222,N/A,5,FR1 SL,550,WT,Opposite,0,
"4/04/2023			",294,N/A,6,FR1 SL,550,WT,Opposite,0,
"5/04/2023			",306,N/A,7,FR1 SL,550,WT,Opposite,1,1
"6/04/2023			",281,N/A,8,FR1 SL,550,WT,Opposite,1,2
"7/04/2023			",276,N/A,9,FR1 SL,550,WT,Opposite,1,3
"10/04/2023			",271,N/A,10,FR1 SL,550,WT,Opposite,1,4
"11/04/2023			",270,0,1,FR1 DL,550,WT,Opposite,1,1
"12/04/2023			",300,2,2,FR1 DL,550,WT,Opposite,1,2
"13/04/2023			",258,1,3,FR1 DL,550,WT,Opposite,1,3
"14/04/2023			",299,3,4,FR1 DL,550,WT,Opposite,1,4
"17/04/2023			",843,2,1,FR3,550,WT,Opposite,0,
"18/04/2023			",257,1,2,FR3,550,WT,Opposite,0,
"19/04/2023			",921,1,3,FR3,550,WT,Opposite,1,1
"20/04/2023			",861,1,4,FR3,550,WT,Opposite,1,2
"21/04/2023			",895,0,5,FR3,550,WT,Opposite,1,3
"24/04/2023			",861,0,6,FR3,550,WT,Opposite,1,4
"25/04/2023			",1199,0,1,FR5,550,WT,Opposite,1,1
"26/04/2023			",1355,1,2,FR5,550,WT,Opposite,1,2
"1/05/2023			",1229,0,3,FR5,550,WT,Opposite,1,3
"2/05/2023			",1290,0,4,FR5,550,WT,Opposite,1,4
"3/05/2023			",1360,0,5,FR5,550,WT,Opposite,0,
"5/05/2023			",1265,0,6,FR5,550,WT,Opposite,0,
"8/05/2023			",1453,0,7,FR5,550,WT,Opposite,0,
"4/05/2023			",1230,6,1,PR 2HR,550,WT,Opposite,0,
"9/05/2023			",3478,30,1,PR 6HR,550,WT,Opposite,0,
"27/03/2023		",28,N/A,1,FR1 SL,489,WT,Beside,0,
"28/03/2023		",169,N/A,2,FR1 SL,489,WT,Beside,0,
"29/03/2023		",123,N/A,3,FR1 SL,489,WT,Beside,0,
"30/03/2023		",295,N/A,4,FR1 SL,489,WT,Beside,1,1
"3/04/2023		",320,N/A,5,FR1 SL,489,WT,Beside,1,2
"4/04/2023			",289,N/A,6,FR1 SL,489,WT,Beside,1,3
"5/04/2023			",295,N/A,7,FR1 SL,489,WT,Beside,1,4
"6/04/2023			",324,19,1,FR1 DL,489,WT,Beside,1,1
"7/04/2023			",317,12,2,FR1 DL,489,WT,Beside,1,2
"10/04/2023			",355,14,3,FR1 DL,489,WT,Beside,1,3
"11/04/2023			",386,6,4,FR1 DL,489,WT,Beside,1,4
"12/04/2023			",1096,4,1,FR3,489,WT,Beside,1,1
"13/04/2023			",1164,4,2,FR3,489,WT,Beside,1,2
"14/04/2023			",1233,5,3,FR3,489,WT,Beside,1,3
"17/04/2023			",1266,5,4,FR3,489,WT,Beside,1,4
"18/04/2023			",2110,1,1,FR5,489,WT,Beside,1,1
"19/04/2023			",2330,1,2,FR5,489,WT,Beside,1,2
"20/04/2023			",2165,1,3,FR5,489,WT,Beside,1,3
"21/04/2023			",2409,0,4,FR5,489,WT,Beside,1,4
"24/04/2023			",2250,1,5,FR5,489,WT,Beside,0,
"26/04/2023			",2285,5,6,FR5,489,WT,Beside,0,
"1/05/2023			",2230,3,7,FR5,489,WT,Beside,0,
"3/05/2023			",1985,1,8,FR5,489,WT,Beside,0,
"5/05/2023			",2000,0,9,FR5,489,WT,Beside,0,
"8/05/2023			",2182,1,10,FR5,489,WT,Beside,0,
"25/04/2023			",1327,57,1,PR 2HR,489,WT,Beside,0,
"2/05/2023			",1012,104,2,PR 2HR,489,WT,Beside,0,
"4/05/2023			",1260,102,3,PR 2HR,489,WT,Beside,0,
"9/05/2023			",2287,432,1,PR 6HR,489,WT,Beside,0,
"3/04/2023		",82,N/A,1,FR1 SL,486,KI,Opposite,0,
"4/04/2023			",178,N/A,2,FR1 SL,486,KI,Opposite,0,
"5/04/2023			",231,N/A,3,FR1 SL,486,KI,Opposite,1,1
"6/04/2023			",251,N/A,4,FR1 SL,486,KI,Opposite,1,2
"7/04/2023			",237,N/A,5,FR1 SL,486,KI,Opposite,1,3
"10/04/2023			",222,N/A,6,FR1 SL,486,KI,Opposite,1,4
"11/04/2023			",183,16,1,FR1 DL,486,KI,Opposite,0,
"12/04/2023			",194,20,2,FR1 DL,486,KI,Opposite,0,
"13/04/2023			",228,11,3,FR1 DL,486,KI,Opposite,0,
"14/04/2023			",235,14,4,FR1 DL,486,KI,Opposite,1,1
"17/04/2023			",255,5,5,FR1 DL,486,KI,Opposite,1,2
"18/04/2023			",287,3,6,FR1 DL,486,KI,Opposite,1,3
"19/04/2023			",286,6,7,FR1 DL,486,KI,Opposite,1,4
"20/04/2023			",605,4,1,FR3,486,KI,Opposite,1,1
"21/04/2023			",696,2,2,FR3,486,KI,Opposite,1,2
"24/04/2023			",848,3,3,FR3,486,KI,Opposite,1,3
"25/04/2023			",750,3,4,FR3,486,KI,Opposite,1,4
"26/04/2023			",830,2,1,FR5,486,KI,Opposite,0,
"1/05/2023			",900,0,2,FR5,486,KI,Opposite,0,
"2/05/2023			",1060,0,3,FR5,486,KI,Opposite,1,1
"3/05/2023			",1220,2,4,FR5,486,KI,Opposite,1,2
"4/05/2023			",1336,2,5,FR5,486,KI,Opposite,1,3
"5/05/2023			",1270,2,6,FR5,486,KI,Opposite,1,4
"8/05/2023			",1110,0,7,FR5,486,KI,Opposite,0,
"9/05/2023			",1721,221,1,PR 6HR,486,KI,Opposite,0,
